Time (Seconds),ROI 5,ROI 15,ROI 43,ROI 57,ROI 80
29,0.0,0.05605400000000002,0.28508100000000003,0.011236300931966009,0.04176000000000002
30,0.015788000000000024,0.03694,0.40813600000000005,0.011791240659888014,0.056771000000000016
31,0.062696,0.044515,0.46869800000000006,0.011092089380943998,0.06532800000000002
32,0.118753,0.062223,0.537181,0.014058382132299013,0.07367200000000002
33,0.172387,0.07941900000000002,0.598553,0.013336435798373014,0.076188
34,0.26948500000000003,0.131681,0.655153,0.01435779309992899,0.07911300000000002
35,0.35648900000000006,0.17905,0.703142,0.015789805592591993,0.078457
36,0.416438,0.229634,0.7590020000000001,0.016473940000131998,0.08683800000000003
37,0.46423100000000006,0.24956699999999998,0.783887,0.01786095745706001,0.12118900000000002
38,0.510776,0.25985400000000003,0.7952950000000001,0.017970777199937005,0.16151600000000002
39,0.5534,0.268305,0.844808,0.013243251964275005,0.190416
40,0.590491,0.284941,0.852642,0.014718153051304,0.206402
41,0.63896,0.324451,0.855346,0.017064097428188013,0.232905
42,0.668892,0.35605400000000004,0.862427,0.01626667272660201,0.25740399999999997
43,0.705139,0.38571400000000006,0.844472,0.017735755618650012,0.267482
44,0.734796,0.43667400000000006,0.852056,0.017973093027357,0.269625
45,0.740156,0.46468499999999996,0.8401970000000001,0.015917290396776,0.266054
46,0.740939,0.487485,0.8069970000000001,0.01509424355222,0.286114
47,0.756511,0.5141789999999999,0.7952400000000001,0.018164273946827014,0.329083
48,0.7358,0.563655,0.794045,0.018790043163110004,0.36692099999999994
49,0.733922,0.5994520000000001,0.7554770000000001,0.01454756889675099,0.41300899999999996
50,0.709862,0.63201,0.718562,0.015679338744160998,0.44440599999999997
51,0.711576,0.653842,0.7040970000000001,0.015107111388620004,0.48181299999999994
52,0.68152,0.676957,0.6932980000000001,0.013377097203067012,0.502948
53,0.645636,0.6941680000000001,0.6638970000000001,0.028812248660157996,0.538614
54,0.636144,0.700372,0.6228790000000001,0.009185243612797989,0.586104
55,0.606765,0.6969099999999999,0.608438,0.030335417055627006,0.6153919999999999
56,0.580184,0.6899390000000001,0.552385,0.015901984937155,0.577658
57,0.572784,0.6914960000000001,0.5572630000000001,0.018339631113028,0.567303
58,0.547859,0.6871659999999999,0.5157400000000001,0.01939125837519301,0.623175
59,0.518123,0.67551,0.528433,0.015558425763317008,0.589949
60,0.49350099999999997,0.6561170000000001,0.490606,0.016530661287932014,0.573721
61,0.47014,0.645159,0.478394,0.01574113043464101,0.578075
62,0.431107,0.6053900000000001,0.44977100000000003,0.017346900431390005,0.582267
63,0.41539100000000007,0.571928,0.38066200000000006,0.014532415515243008,0.572048
